,Modelo,Motor,Hardware,Tarea,Numero de Problemas,Numero de Lotes,Tamaño Batch,Precisión,Energía (kWh),Energía (J),CO2 (kg),EDP (J*s),Tokens Prompt,Tokens Generados,TTFT Medio (s),TPOT (s/token),Throughput Decode (tok/s),Throughput Total (tok/s),Inferencia Media (s),Energía (J/token gen),Cuantizacion,Attention Implementation,Speculative Decoding,Familia,Maquina
0,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,humaneval,164,164,1,71.95121951219512,0.023656421454885,85163.11723758615,0.0041174001542227,38888364.03944163,51675,10549,0.1275581761104304,0.0413038517267334,24.210817107712074,136.26671982439217,2.784352882606228,8.073098610065992,f16,,,Qwen,CITIC
1,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.36842105263158,0.0069862225903443,25150.40132523956,0.0012159520418494,3729558.7800230384,170633,1140,0.0892519024380466,0.0408272460887306,24.49344728828097,1158.356830298754,0.1300791485267773,22.06175554845576,f16,,,Qwen,CITIC
2,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-fp16.gguf,llamacpp,cuda,resumen,100,100,1,26.269394767388043,0.0183266301183058,65975.86842590121,0.0031897499720911,26906287.95340149,93940,8257,0.7237057614326478,0.0406260826807991,24.61472861799261,250.5933125074369,4.078201408386231,7.990295316204579,f16,,,Qwen,CITIC
3,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,humaneval,164,164,1,71.34146341463415,0.0132955010538578,47863.803793888284,0.0023140819584239,14018412.597496271,51675,10812,0.1131406121137665,0.0253723852730573,39.41292823824051,213.3526522256076,1.7858615241399625,4.426914890296733,q8_0,,,Qwen,CITIC
4,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.45614035087719,0.0052507048542981,18902.53747547341,0.0009138851798905,2190173.2766337064,170633,1140,0.0765864445452104,0.0250509483772411,39.918648385723465,1482.5062493525838,0.1016373929224516,16.581173224099487,q8_0,,,Qwen,CITIC
5,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q8_0.gguf,llamacpp,cuda,resumen,100,100,1,26.643545213907643,0.0143901668256473,51804.60057233039,0.0025046085360039,14464858.378219103,93940,8364,0.6964243626594544,0.025057046308522,39.90893370620046,366.3926544163093,2.792195715904236,6.193759035429267,q8_0,,,Qwen,CITIC
6,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,humaneval,164,164,1,71.34146341463415,0.0194007568254959,69842.72457178555,0.0033767017254775,23503487.492561743,51675,10727,0.1306728764278132,0.029373529051383,34.04425795248173,185.43314902130425,2.051952426026507,6.510927992149301,q6_K,,,Qwen,CITIC
7,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.280701754385966,0.006910305378596,24877.099362945915,0.0012027386511446,3300614.0023136577,170633,1140,0.0885690716274997,0.0278140885788097,35.95300263629175,1294.672441514179,0.1163831602063095,21.82201698504028,q6_K,,,Qwen,CITIC
8,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q6_k.gguf,llamacpp,cuda,resumen,100,100,1,26.4069558434618,0.0158560940108444,57081.938439039885,0.0027597531625874,18014492.45830104,93940,8215,0.7773820757865906,0.0289533601762025,34.538305533943685,323.69523786128724,3.155900614261628,6.9485013315934125,q6_K,,,Qwen,CITIC
9,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q5_k_m.gguf,llamacpp,cuda,humaneval,164,164,1,73.17073170731707,0.0135913998423393,48929.03943242158,0.0023655831425591,13317771.149887132,51675,10506,0.1215413590756858,0.0240103404861891,41.64872216515227,228.45088466422484,1.6596671953433897,4.657247233240204,q5_K_M,,,Qwen,CITIC
10,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q5_k_m.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.45614035087719,0.0056963505618994,20506.86202283808,0.0009914498152986,2454698.486040868,170633,1140,0.082131776893348,0.0228693824065359,43.72658527561319,1435.0133958530985,0.1050011592998839,17.988475458629896,q5_K_M,,,Qwen,CITIC
11,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q5_k_m.gguf,llamacpp,cuda,resumen,100,100,1,25.9517457223035,0.0124987942617753,44995.65934239117,0.0021754151412619,12823511.903489798,93940,8918,0.7372151374816894,0.0236906153547787,42.21080731861545,360.9123275645075,2.849944214820862,5.045487703789097,q5_K_M,,,Qwen,CITIC
12,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q4_k_m.gguf,llamacpp,cuda,humaneval,164,164,1,67.07317073170732,0.0105592666551607,38013.359958578585,0.0018378403613307,9100469.323587395,51675,9712,0.118325304694292,0.0226520301138942,44.14615356645775,256.41821809442564,1.459767478268321,3.914060951253973,q4_K_M,,,Qwen,CITIC
13,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q4_k_m.gguf,llamacpp,cuda,mmlu,1140,1140,1,57.45614035087719,0.0052631212963733,18947.236666944016,0.0009160462616337,2186682.086714829,170633,1140,0.0794953542843199,0.0217406314716004,45.99682402538717,1488.3844815688649,0.1012359857559204,16.62038304117896,q4_K_M,,,Qwen,CITIC
14,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q4_k_m.gguf,llamacpp,cuda,resumen,100,100,1,26.11662684461922,0.0146026165590594,52569.41961261385,0.0025415854121042,14494184.61795566,93940,9046,0.721693422794342,0.0225011930775647,44.442087872979,373.5232019549271,2.7571513485908508,5.8113441977242815,q4_K_M,,,Qwen,CITIC
15,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q3_k_m.gguf,llamacpp,cuda,humaneval,164,164,1,46.95121951219512,0.0142442026673122,51279.12960232409,0.0024792034742456,16298215.6975657,51675,10168,0.1247135139093166,0.0292466854505141,34.191908744394865,194.576834105232,1.9380080118411924,5.043187411715587,q3_K_M,,,Qwen,CITIC
16,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q3_k_m.gguf,llamacpp,cuda,mmlu,1140,1140,1,55.52631578947368,0.0073129165101234,26326.499436444497,0.0012728131185869,3434210.8641363606,170633,1140,0.0851929300709774,0.0292341960103888,34.2065162197255,1316.8037626698338,0.1144271260813662,23.093420558284645,q3_K_M,,,Qwen,CITIC
17,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q3_k_m.gguf,llamacpp,cuda,resumen,100,100,1,24.561929740261736,0.0224582033001383,80849.53188049803,0.003908850284389,32326750.56215911,93940,11100,0.7594830226898194,0.0291792915318463,34.27088004890723,262.706108131652,3.998384382724762,7.283741610855679,q3_K_M,,,Qwen,CITIC
18,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q2_k.gguf,llamacpp,cuda,humaneval,164,164,1,50.0,0.0149946194394329,53980.62998195869,0.0026098135134333,14421930.553624395,51675,9604,0.146300304226759,0.0253202178884376,39.49413091175033,229.36450930511097,1.6290769664252676,5.62064035630557,q2_K,,,Qwen,CITIC
19,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q2_k.gguf,llamacpp,cuda,mmlu,1140,1140,1,50.08771929824562,0.006128792404461,22063.65265605973,0.0010667163179964,3031953.4884772534,170633,1140,0.0961452398383826,0.0243972815965351,40.98817304883748,1249.999322909396,0.1205425214349177,19.354081277245378,q2_K,,,Qwen,CITIC
20,Qwen/Qwen2.5-Coder-3B-Instruct-GGUF/qwen2.5-coder-3b-instruct-q2_k.gguf,llamacpp,cuda,resumen,100,100,1,22.77906251771698,0.0163964698795033,59027.29156621211,0.0028538055825275,21163276.21502817,93940,10985,0.8620750641822815,0.0247907368117806,40.33764738790639,292.65027326850304,3.5853375029563903,5.373444839891863,q2_K,,,Qwen,CITIC
21,bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-bf16.gguf,llamacpp,cuda,humaneval,164,164,1,1.2195121951219512,0.0287548279034695,103517.3804524904,0.0050047777965988,65342764.98189429,54526,15596,0.1114014052763217,0.039302079532048,25.44394627222136,111.08874492992256,3.848933310043521,6.63743142167802,f16,,,Gemma,CITIC
22,bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-bf16.gguf,llamacpp,cuda,mmlu,1140,1140,1,58.245614035087726,0.0060453757392324,21763.352661236648,0.0010521976474133,2862675.766082968,173830,1141,0.0765940001136378,0.0387549203911128,25.803175181578148,1330.2084796350189,0.1153829160489534,19.07392871274027,f16,,,Gemma,CITIC
23,bartowski/google_gemma-4-E2B-it-GGUF/google_gemma-4-E2B-it-bf16.gguf,llamacpp,cuda,resumen,100,100,1,25.12274118962436,0.0172603210625598,62137.155825215305,0.0030041588809385,23477573.94786555,94545,7824,0.576511447429657,0.0409232566936859,24.43598288095897,270.9359373671471,3.7783470511436463,7.941865519582733,f16,,,Gemma,CITIC
